X,Y,tld,domain,lat,lon
-0.0816046,51.52733,london,reclaimedflooring,51.52733,-0.0816046
-0.128996,51.52731,london,theplace,51.52731,-0.128996
-0.128996,51.52731,london,lcds,51.52731,-0.128996
-0.305553,51.527295,london,testingacademy,51.527295,-0.305553
-0.305553,51.527295,london,testing-academy,51.527295,-0.305553
-0.305553,51.527295,london,davehobbs,51.527295,-0.305553
-0.2620516,51.5272809,london,balustradesupplier,51.5272809,-0.2620516
-0.2620516,51.5272809,london,joinerylondon,51.5272809,-0.2620516
-0.2620516,51.5272809,london,modernstaircases,51.5272809,-0.2620516
-0.2620516,51.5272809,london,staircasesglass,51.5272809,-0.2620516
-0.2620516,51.5272809,london,calltaxi,51.5272809,-0.2620516
-0.2620516,51.5272809,london,floatingstaircasesin,51.5272809,-0.2620516
-0.089135,51.527279,london,londinium,51.527279,-0.089135
-0.089135,51.527279,london,thecloudfinanceteam,51.527279,-0.089135
-0.089135,51.527279,london,searchengineoptimisation,51.527279,-0.089135
-0.089135,51.527279,london,circlewalking,51.527279,-0.089135
-0.089135,51.527279,london,localnews,51.527279,-0.089135
-0.089135,51.527279,london,visiting,51.527279,-0.089135
-0.089135,51.527279,london,classifieds,51.527279,-0.089135
-0.089135,51.527279,london,onlineaccountant,51.527279,-0.089135
-0.089135,51.527279,london,thetaichispace,51.527279,-0.089135
-0.089135,51.527279,london,propertymatrix,51.527279,-0.089135
-0.089135,51.527279,london,lukewindosr,51.527279,-0.089135
-0.089135,51.527279,london,thegran,51.527279,-0.089135
-0.089135,51.527279,london,grocery,51.527279,-0.089135
-0.089135,51.527279,london,taichispace,51.527279,-0.089135
-0.089135,51.527279,london,adverts,51.527279,-0.089135
-0.089135,51.527279,london,multiroomtv,51.527279,-0.089135
-0.089135,51.527279,london,neighbour,51.527279,-0.089135
-0.089135,51.527279,london,topuniversities,51.527279,-0.089135
-0.089135,51.527279,london,independantschools,51.527279,-0.089135
-0.089135,51.527279,london,europeansatellite,51.527279,-0.089135
-0.089135,51.527279,london,commercialtv,51.527279,-0.089135
-0.089135,51.527279,london,thepinnacle,51.527279,-0.089135
-0.089135,51.527279,london,aerialsdirect,51.527279,-0.089135
-0.089135,51.527279,london,valuinfo,51.527279,-0.089135
-0.089135,51.527279,london,consolidata,51.527279,-0.089135
-0.089135,51.527279,london,4050media,51.527279,-0.089135
-0.089135,51.527279,london,salesflux,51.527279,-0.089135
-0.089135,51.527279,london,whattowear,51.527279,-0.089135
-0.089135,51.527279,london,nextdoor,51.527279,-0.089135
-0.089135,51.527279,london,ukessays,51.527279,-0.089135
-0.089135,51.527279,london,booknow,51.527279,-0.089135
-0.089135,51.527279,london,essayproofreading,51.527279,-0.089135
-0.089135,51.527279,london,startupjobs,51.527279,-0.089135
-0.089135,51.527279,london,skydigitalinstallation,51.527279,-0.089135
-0.089135,51.527279,london,londonlawtutor,51.527279,-0.089135
-0.089135,51.527279,london,searchengineoptimization,51.527279,-0.089135
-0.089135,51.527279,london,freesat,51.527279,-0.089135
-0.089135,51.527279,london,ncsonline,51.527279,-0.089135
-0.089135,51.527279,london,communaltvsystems,51.527279,-0.089135
-0.089135,51.527279,london,adph,51.527279,-0.089135
-0.089135,51.527279,london,cityservices,51.527279,-0.089135
-0.089135,51.527279,london,paulcavel,51.527279,-0.089135
-0.089135,51.527279,london,fablondon,51.527279,-0.089135
-0.089135,51.527279,london,skyinstallation,51.527279,-0.089135
-0.089135,51.527279,london,thetaijispace,51.527279,-0.089135
-0.089135,51.527279,london,buyandsell,51.527279,-0.089135
-0.089135,51.527279,london,ahmm,51.527279,-0.089135
-0.089135,51.527279,london,clear-environment,51.527279,-0.089135
-0.089135,51.527279,london,aerialrepairs,51.527279,-0.089135
-0.089135,51.527279,london,aerialsystems,51.527279,-0.089135
-0.089135,51.527279,london,allfreein,51.527279,-0.089135
-0.089135,51.527279,london,proteus,51.527279,-0.089135
-0.089135,51.527279,london,tvwallmounting,51.527279,-0.089135
-0.089135,51.527279,london,radioaerials,51.527279,-0.089135
-0.089135,51.527279,london,tvaerialrepairs,51.527279,-0.089135
-0.089135,51.527279,london,utruths,51.527279,-0.089135
-0.089135,51.527279,london,tidymodels,51.527279,-0.089135
-0.089135,51.527279,london,hotspots,51.527279,-0.089135
-0.089135,51.527279,london,kynk,51.527279,-0.089135
-0.089135,51.527279,london,europeansatelliteinstallation,51.527279,-0.089135
-0.089135,51.527279,london,actionaerials,51.527279,-0.089135
